Srednie kursy EUR Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2024-04-04,4.2921,0,067/A/NBP/2024
2024-04-03,4.2923,-0.03,066/A/NBP/2024
2024-04-02,4.2934,-0.17,065/A/NBP/2024
2024-03-29,4.3009,-0.42,064/A/NBP/2024
2024-03-28,4.3191,0.09,063/A/NBP/2024
2024-03-27,4.3153,0.14,062/A/NBP/2024
2024-03-26,4.3093,0,061/A/NBP/2024
2024-03-25,4.3091,-0.22,060/A/NBP/2024
2024-03-22,4.3186,0.36,059/A/NBP/2024
2024-03-21,4.3031,-0.49,058/A/NBP/2024
2024-03-20,4.3242,0.09,057/A/NBP/2024
2024-03-19,4.3201,0.27,056/A/NBP/2024
2024-03-18,4.3086,0.37,055/A/NBP/2024
2024-03-15,4.2929,0.14,054/A/NBP/2024
2024-03-14,4.287,-0.06,053/A/NBP/2024
2024-03-13,4.2896,0.21,052/A/NBP/2024
2024-03-12,4.2804,-0.3,051/A/NBP/2024
2024-03-11,4.2933,-0.34,050/A/NBP/2024
2024-03-08,4.3079,0.08,049/A/NBP/2024
2024-03-07,4.3045,-0.14,048/A/NBP/2024
2024-03-06,4.3106,-0.28,047/A/NBP/2024
2024-03-05,4.3228,0.06,046/A/NBP/2024
2024-03-04,4.3201,0.06,045/A/NBP/2024
2024-03-01,4.3176,-0.03,044/A/NBP/2024
2024-02-29,4.319,0.17,043/A/NBP/2024
2024-02-28,4.3116,0.11,042/A/NBP/2024
2024-02-27,4.3067,-0.12,041/A/NBP/2024
2024-02-26,4.3117,-0.48,040/A/NBP/2024
2024-02-23,4.3326,0.29,039/A/NBP/2024
2024-02-22,4.3199,0.08,038/A/NBP/2024
2024-02-21,4.3163,-0.05,037/A/NBP/2024
2024-02-20,4.3186,-0.47,036/A/NBP/2024
2024-02-19,4.339,-0.06,035/A/NBP/2024
2024-02-16,4.3414,-0.11,034/A/NBP/2024
2024-02-15,4.3463,0.06,033/A/NBP/2024
2024-02-14,4.3435,0.51,032/A/NBP/2024
2024-02-13,4.3214,-0.15,031/A/NBP/2024
2024-02-12,4.328,0.26,030/A/NBP/2024
2024-02-09,4.3167,-0.65,029/A/NBP/2024
2024-02-08,4.3449,-0.04,028/A/NBP/2024
2024-02-07,4.3466,0.07,027/A/NBP/2024
2024-02-06,4.3435,0.36,026/A/NBP/2024
2024-02-05,4.3278,0.24,025/A/NBP/2024
2024-02-02,4.3173,-0.17,024/A/NBP/2024
2024-02-01,4.3247,-0.43,023/A/NBP/2024
2024-01-31,4.3434,-0.46,022/A/NBP/2024
2024-01-30,4.3634,-0.04,021/A/NBP/2024
2024-01-29,4.3653,-0.34,020/A/NBP/2024
2024-01-26,4.3802,0.03,019/A/NBP/2024
2024-01-25,4.379,0.08,018/A/NBP/2024
2024-01-24,4.3755,0.13,017/A/NBP/2024
2024-01-23,4.3697,0.31,016/A/NBP/2024
2024-01-22,4.356,-0.65,015/A/NBP/2024
2024-01-19,4.3846,-0.39,014/A/NBP/2024
2024-01-18,4.4016,0.09,013/A/NBP/2024
2024-01-17,4.3978,0.1,012/A/NBP/2024
2024-01-16,4.3934,0.43,011/A/NBP/2024
2024-01-15,4.3748,0.4,010/A/NBP/2024
2024-01-12,4.3574,0.16,009/A/NBP/2024
2024-01-11,4.3505,0.21,008/A/NBP/2024
