Srednie kursy GBP Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2024-04-26,5.0414,-0.03,083/A/NBP/2024
2024-04-25,5.0427,0.41,082/A/NBP/2024
2024-04-24,5.022,-0.04,081/A/NBP/2024
2024-04-23,5.0238,0.21,080/A/NBP/2024
2024-04-22,5.0131,-0.96,079/A/NBP/2024
2024-04-19,5.0615,0.05,078/A/NBP/2024
2024-04-18,5.0589,-0.44,077/A/NBP/2024
2024-04-17,5.0812,0.4,076/A/NBP/2024
2024-04-16,5.0609,0.83,075/A/NBP/2024
2024-04-15,5.0192,0.37,074/A/NBP/2024
2024-04-12,5.0007,0.35,073/A/NBP/2024
2024-04-11,4.9835,-0.02,072/A/NBP/2024
2024-04-10,4.9843,0.37,071/A/NBP/2024
2024-04-09,4.966,-0.51,070/A/NBP/2024
2024-04-08,4.9915,-0.18,069/A/NBP/2024
2024-04-05,5.0003,-0.08,068/A/NBP/2024
2024-04-04,5.0042,-0.15,067/A/NBP/2024
2024-04-03,5.0117,-0.28,066/A/NBP/2024
2024-04-02,5.0256,-0.09,065/A/NBP/2024
2024-03-29,5.03,-0.34,064/A/NBP/2024
2024-03-28,5.0474,0.29,063/A/NBP/2024
2024-03-27,5.0327,0.17,062/A/NBP/2024
2024-03-26,5.0243,-0.01,061/A/NBP/2024
2024-03-25,5.0246,-0.02,060/A/NBP/2024
2024-03-22,5.0257,-0.22,059/A/NBP/2024
2024-03-21,5.0367,-0.53,058/A/NBP/2024
2024-03-20,5.0635,0.24,057/A/NBP/2024
2024-03-19,5.0516,0.34,056/A/NBP/2024
2024-03-18,5.0343,0.22,055/A/NBP/2024
2024-03-15,5.0233,0.04,054/A/NBP/2024
2024-03-14,5.0214,0.09,053/A/NBP/2024
2024-03-13,5.0171,0.17,052/A/NBP/2024
2024-03-12,5.0084,-0.67,051/A/NBP/2024
2024-03-11,5.0423,-0.22,050/A/NBP/2024
2024-03-08,5.0536,0.4,049/A/NBP/2024
2024-03-07,5.0336,-0.23,048/A/NBP/2024
2024-03-06,5.0452,-0.16,047/A/NBP/2024
2024-03-05,5.0535,0.11,046/A/NBP/2024
2024-03-04,5.048,0.13,045/A/NBP/2024
2024-03-01,5.0413,-0.01,044/A/NBP/2024
2024-02-29,5.042,0.03,043/A/NBP/2024
2024-02-28,5.0404,0.1,042/A/NBP/2024
2024-02-27,5.0353,-0.16,041/A/NBP/2024
2024-02-26,5.0435,-0.51,040/A/NBP/2024
2024-02-23,5.0691,0.47,039/A/NBP/2024
2024-02-22,5.0454,0.1,038/A/NBP/2024
2024-02-21,5.0406,0,037/A/NBP/2024
2024-02-20,5.0407,-0.77,036/A/NBP/2024
2024-02-19,5.0796,0.08,035/A/NBP/2024
2024-02-16,5.0753,-0.17,034/A/NBP/2024
2024-02-15,5.084,-0.12,033/A/NBP/2024
2024-02-14,5.0902,0.23,032/A/NBP/2024
2024-02-13,5.0786,0.13,031/A/NBP/2024
2024-02-12,5.0721,0.32,030/A/NBP/2024
2024-02-09,5.0559,-0.65,029/A/NBP/2024
2024-02-08,5.0892,-0.19,028/A/NBP/2024
2024-02-07,5.099,0.42,027/A/NBP/2024
2024-02-06,5.0777,0.13,026/A/NBP/2024
2024-02-05,5.0712,0.28,025/A/NBP/2024
2024-02-02,5.0572,-0.23,024/A/NBP/2024
2024-02-01,5.0688,-0.31,023/A/NBP/2024
2024-01-31,5.0848,-0.5,022/A/NBP/2024
2024-01-30,5.1106,-0.24,021/A/NBP/2024
2024-01-29,5.123,-0.25,020/A/NBP/2024
2024-01-26,5.1357,0.41,019/A/NBP/2024
2024-01-25,5.1148,-0.15,018/A/NBP/2024
2024-01-24,5.1223,0.27,017/A/NBP/2024
2024-01-23,5.1084,0.59,016/A/NBP/2024
2024-01-22,5.0784,-0.62,015/A/NBP/2024
2024-01-19,5.1103,-0.29,014/A/NBP/2024
2024-01-18,5.1253,-0.04,013/A/NBP/2024
2024-01-17,5.1274,0.48,012/A/NBP/2024
2024-01-16,5.1027,0.33,011/A/NBP/2024
2024-01-15,5.0861,0.34,010/A/NBP/2024
2024-01-12,5.0688,0.27,009/A/NBP/2024
2024-01-11,5.0549,0.16,008/A/NBP/2024
2024-01-10,5.0466,0.04,007/A/NBP/2024
2024-01-09,5.0446,-0.19,006/A/NBP/2024
2024-01-08,5.0543,0.2,005/A/NBP/2024
2024-01-05,5.044,-0.08,004/A/NBP/2024
2024-01-04,5.0481,0.17,003/A/NBP/2024
2024-01-03,5.0397,0.49,002/A/NBP/2024
2024-01-02,5.0152,0.31,001/A/NBP/2024
2023-12-29,4.9997,0.22,251/A/NBP/2023
2023-12-28,4.9887,0.11,250/A/NBP/2023
2023-12-27,4.9834,-0.14,249/A/NBP/2023
2023-12-22,4.9905,-0.34,248/A/NBP/2023
2023-12-21,5.0077,-0.08,247/A/NBP/2023
2023-12-20,5.0117,-0.33,246/A/NBP/2023
2023-12-19,5.0283,0.17,245/A/NBP/2023
2023-12-18,5.0196,-0.09,244/A/NBP/2023
2023-12-15,5.024,0.45,243/A/NBP/2023
2023-12-14,5.0015,-0.54,242/A/NBP/2023
2023-12-13,5.0289,-0.45,241/A/NBP/2023
2023-12-12,5.0516,-0.1,240/A/NBP/2023
2023-12-11,5.0567,0.22,239/A/NBP/2023
2023-12-08,5.0458,-0.27,238/A/NBP/2023
2023-12-07,5.0597,-0.12,237/A/NBP/2023
2023-12-06,5.0656,0.47,236/A/NBP/2023
2023-12-05,5.0417,-0.18,235/A/NBP/2023
2023-12-04,5.0509,-0.09,234/A/NBP/2023
2023-12-01,5.0557,0.41,233/A/NBP/2023
2023-11-30,5.035,0.57,232/A/NBP/2023
2023-11-29,5.0066,-0.26,231/A/NBP/2023
2023-11-28,5.0198,0.11,230/A/NBP/2023
2023-11-27,5.0142,-0.36,229/A/NBP/2023
2023-11-24,5.0325,0.26,228/A/NBP/2023
2023-11-23,5.0193,-0.29,227/A/NBP/2023
2023-11-22,5.0341,0.74,226/A/NBP/2023
2023-11-21,4.9971,0.02,225/A/NBP/2023
2023-11-20,4.996,-0.18,224/A/NBP/2023
2023-11-17,5.0048,-0.14,223/A/NBP/2023
2023-11-16,5.0119,-0.59,222/A/NBP/2023
2023-11-15,5.0416,-0.53,221/A/NBP/2023
2023-11-14,5.0683,-0.2,220/A/NBP/2023
2023-11-13,5.0783,0.34,219/A/NBP/2023
2023-11-10,5.0609,-0.89,218/A/NBP/2023
2023-11-09,5.1061,-0.26,217/A/NBP/2023
2023-11-08,5.1196,-0.12,216/A/NBP/2023
2023-11-07,5.1259,-0.41,215/A/NBP/2023
2023-11-06,5.1471,0.68,214/A/NBP/2023
2023-11-03,5.1123,-0.02,213/A/NBP/2023
2023-11-02,5.1135,0.61,212/A/NBP/2023
2023-10-31,5.0823,-0.32,211/A/NBP/2023
2023-10-30,5.0987,-0.54,210/A/NBP/2023
2023-10-27,5.1266,0.11,209/A/NBP/2023
2023-10-26,5.1209,-0.23,208/A/NBP/2023
2023-10-25,5.1328,-0.07,207/A/NBP/2023
2023-10-24,5.1366,0.51,206/A/NBP/2023
