Srednie kursy HKD Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2024-04-26,0.5141,-0.06,083/A/NBP/2024
2024-04-25,0.5144,-0.31,082/A/NBP/2024
2024-04-24,0.516,-0.42,081/A/NBP/2024
2024-04-23,0.5182,0.17,080/A/NBP/2024
2024-04-22,0.5173,-0.42,079/A/NBP/2024
2024-04-19,0.5195,0.31,078/A/NBP/2024
2024-04-18,0.5179,-0.46,077/A/NBP/2024
2024-04-17,0.5203,0.12,076/A/NBP/2024
2024-04-16,0.5197,1.21,075/A/NBP/2024
2024-04-15,0.5135,0.65,074/A/NBP/2024
2024-04-12,0.5102,0.67,073/A/NBP/2024
2024-04-11,0.5068,1.1,072/A/NBP/2024
2024-04-10,0.5013,0.1,071/A/NBP/2024
2024-04-09,0.5008,-0.83,070/A/NBP/2024
2024-04-08,0.505,-0.08,069/A/NBP/2024
2024-04-05,0.5054,0.12,068/A/NBP/2024
2024-04-04,0.5048,-0.81,067/A/NBP/2024
2024-04-03,0.5089,-0.43,066/A/NBP/2024
2024-04-02,0.5111,0.26,065/A/NBP/2024
2024-03-29,0.5098,-0.49,064/A/NBP/2024
2024-03-28,0.5123,0.57,063/A/NBP/2024
2024-03-27,0.5094,0.37,062/A/NBP/2024
2024-03-26,0.5075,-0.35,061/A/NBP/2024
2024-03-25,0.5093,-0.25,060/A/NBP/2024
2024-03-22,0.5106,1.29,059/A/NBP/2024
2024-03-21,0.5041,-1.16,058/A/NBP/2024
2024-03-20,0.51,0.06,057/A/NBP/2024
2024-03-19,0.5097,0.83,056/A/NBP/2024
2024-03-18,0.5055,0.38,055/A/NBP/2024
2024-03-15,0.5036,0.54,054/A/NBP/2024
2024-03-14,0.5009,-0.2,053/A/NBP/2024
2024-03-13,0.5019,0.28,052/A/NBP/2024
2024-03-12,0.5005,-0.34,051/A/NBP/2024
2024-03-11,0.5022,-0.3,050/A/NBP/2024
2024-03-08,0.5037,-0.22,049/A/NBP/2024
2024-03-07,0.5048,-0.36,048/A/NBP/2024
2024-03-06,0.5066,-0.51,047/A/NBP/2024
2024-03-05,0.5092,0.06,046/A/NBP/2024
2024-03-04,0.5089,-0.22,045/A/NBP/2024
2024-03-01,0.51,0.29,044/A/NBP/2024
2024-02-29,0.5085,-0.31,043/A/NBP/2024
2024-02-28,0.5101,0.57,042/A/NBP/2024
2024-02-27,0.5072,-0.24,041/A/NBP/2024
2024-02-26,0.5084,-0.68,040/A/NBP/2024
2024-02-23,0.5119,0.59,039/A/NBP/2024
2024-02-22,0.5089,-0.41,038/A/NBP/2024
2024-02-21,0.511,-0.06,037/A/NBP/2024
2024-02-20,0.5113,-0.7,036/A/NBP/2024
2024-02-19,0.5149,-0.12,035/A/NBP/2024
2024-02-16,0.5155,-0.44,034/A/NBP/2024
2024-02-15,0.5178,-0.27,033/A/NBP/2024
2024-02-14,0.5192,1.13,032/A/NBP/2024
2024-02-13,0.5134,-0.1,031/A/NBP/2024
2024-02-12,0.5139,0.25,030/A/NBP/2024
2024-02-09,0.5126,-0.5,029/A/NBP/2024
2024-02-08,0.5152,-0.17,028/A/NBP/2024
2024-02-07,0.5161,-0.27,027/A/NBP/2024
2024-02-06,0.5175,0.58,026/A/NBP/2024
2024-02-05,0.5145,1.48,025/A/NBP/2024
2024-02-02,0.507,-1,024/A/NBP/2024
2024-02-01,0.5121,-0.23,023/A/NBP/2024
2024-01-31,0.5133,-0.45,022/A/NBP/2024
2024-01-30,0.5156,-0.1,021/A/NBP/2024
