Srednie kursy JPY Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2024-04-04,2.6045,-0.83,067/A/NBP/2024
2024-04-03,2.6262,-0.46,066/A/NBP/2024
2024-04-02,2.6384,0.07,065/A/NBP/2024
2024-03-29,2.6366,-0.4,064/A/NBP/2024
2024-03-28,2.6472,0.47,063/A/NBP/2024
2024-03-27,2.6347,0.38,062/A/NBP/2024
2024-03-26,2.6247,-0.24,061/A/NBP/2024
2024-03-25,2.6309,-0.09,060/A/NBP/2024
2024-03-22,2.6334,0.9,059/A/NBP/2024
2024-03-21,2.6098,-0.77,058/A/NBP/2024
2024-03-20,2.6301,-0.58,057/A/NBP/2024
2024-03-19,2.6455,-0.14,056/A/NBP/2024
2024-03-18,2.6492,0.02,055/A/NBP/2024
2024-03-15,2.6487,-0.1,054/A/NBP/2024
2024-03-14,2.6514,-0.08,053/A/NBP/2024
2024-03-13,2.6536,-0.1,052/A/NBP/2024
2024-03-12,2.6563,-0.81,051/A/NBP/2024
2024-03-11,2.678,0.02,050/A/NBP/2024
2024-03-08,2.6775,0.35,049/A/NBP/2024
2024-03-07,2.6682,0.75,048/A/NBP/2024
2024-03-06,2.6484,0,047/A/NBP/2024
2024-03-05,2.6484,-0.08,046/A/NBP/2024
2024-03-04,2.6504,0.01,045/A/NBP/2024
2024-03-01,2.6502,-0.26,044/A/NBP/2024
2024-02-29,2.657,0.33,043/A/NBP/2024
2024-02-28,2.6482,0.28,042/A/NBP/2024
2024-02-27,2.6409,0.02,041/A/NBP/2024
2024-02-26,2.6405,-0.62,040/A/NBP/2024
2024-02-23,2.6569,0.25,039/A/NBP/2024
2024-02-22,2.6504,-0.45,038/A/NBP/2024
2024-02-21,2.6624,0.04,037/A/NBP/2024
2024-02-20,2.6614,-0.91,036/A/NBP/2024
2024-02-19,2.6858,0.1,035/A/NBP/2024
2024-02-16,2.683,-0.6,034/A/NBP/2024
2024-02-15,2.6991,0.17,033/A/NBP/2024
2024-02-14,2.6945,0.42,032/A/NBP/2024
2024-02-13,2.6833,-0.43,031/A/NBP/2024
2024-02-12,2.6949,0.44,030/A/NBP/2024
2024-02-09,2.683,-0.95,029/A/NBP/2024
2024-02-08,2.7086,-0.73,028/A/NBP/2024
2024-02-07,2.7286,0.22,027/A/NBP/2024
2024-02-06,2.7227,0.47,026/A/NBP/2024
2024-02-05,2.71,0.28,025/A/NBP/2024
2024-02-02,2.7024,-0.95,024/A/NBP/2024
2024-02-01,2.7283,0.46,023/A/NBP/2024
2024-01-31,2.7159,-0.67,022/A/NBP/2024
2024-01-30,2.7342,0.18,021/A/NBP/2024
2024-01-29,2.7294,-0.1,020/A/NBP/2024
2024-01-26,2.7322,0.37,019/A/NBP/2024
2024-01-25,2.7222,0.07,018/A/NBP/2024
2024-01-24,2.7202,0.11,017/A/NBP/2024
2024-01-23,2.7171,0.67,016/A/NBP/2024
2024-01-22,2.699,-0.86,015/A/NBP/2024
2024-01-19,2.7225,-0.46,014/A/NBP/2024
2024-01-18,2.7351,-0.07,013/A/NBP/2024
2024-01-17,2.7371,-0.61,012/A/NBP/2024
2024-01-16,2.7539,0.38,011/A/NBP/2024
2024-01-15,2.7436,0.18,010/A/NBP/2024
2024-01-12,2.7388,0.46,009/A/NBP/2024
2024-01-11,2.7263,-0.37,008/A/NBP/2024
2024-01-10,2.7365,-0.55,007/A/NBP/2024
2024-01-09,2.7517,-0.32,006/A/NBP/2024
2024-01-08,2.7605,0.59,005/A/NBP/2024
2024-01-05,2.7443,-0.51,004/A/NBP/2024
2024-01-04,2.7583,-1.41,003/A/NBP/2024
2024-01-03,2.7977,0.44,002/A/NBP/2024
2024-01-02,2.7855,0.45,001/A/NBP/2024
2023-12-29,2.773,0.1,251/A/NBP/2023
2023-12-28,2.7703,0.82,250/A/NBP/2023
2023-12-27,2.7478,-0.73,249/A/NBP/2023
2023-12-22,2.768,-0.12,248/A/NBP/2023
2023-12-21,2.7713,0.54,247/A/NBP/2023
2023-12-20,2.7563,0.62,246/A/NBP/2023
