Srednie kursy SEK Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2024-04-26,0.3703,-0.32,083/A/NBP/2024
2024-04-25,0.3715,-0.13,082/A/NBP/2024
2024-04-24,0.372,-0.32,081/A/NBP/2024
2024-04-23,0.3732,0.48,080/A/NBP/2024
2024-04-22,0.3714,0.22,079/A/NBP/2024
2024-04-19,0.3706,-0.56,078/A/NBP/2024
2024-04-18,0.3727,-0.03,077/A/NBP/2024
2024-04-17,0.3728,0.32,076/A/NBP/2024
2024-04-16,0.3716,0.38,075/A/NBP/2024
2024-04-15,0.3702,0,074/A/NBP/2024
2024-04-12,0.3702,0,073/A/NBP/2024
2024-04-11,0.3702,-0.64,072/A/NBP/2024
2024-04-10,0.3726,0.16,071/A/NBP/2024
2024-04-09,0.372,-0.13,070/A/NBP/2024
2024-04-08,0.3725,0.27,069/A/NBP/2024
2024-04-05,0.3715,-0.3,068/A/NBP/2024
2024-04-04,0.3726,0.32,067/A/NBP/2024
2024-04-03,0.3714,0.11,066/A/NBP/2024
2024-04-02,0.371,-0.4,065/A/NBP/2024
2024-03-29,0.3725,-0.43,064/A/NBP/2024
2024-03-28,0.3741,-0.51,063/A/NBP/2024
2024-03-27,0.376,-0.13,062/A/NBP/2024
2024-03-26,0.3765,0.05,061/A/NBP/2024
2024-03-25,0.3763,-0.5,060/A/NBP/2024
2024-03-22,0.3782,-0.32,059/A/NBP/2024
2024-03-21,0.3794,-0.26,058/A/NBP/2024
2024-03-20,0.3804,0.16,057/A/NBP/2024
2024-03-19,0.3798,-0.26,056/A/NBP/2024
2024-03-18,0.3808,-0.08,055/A/NBP/2024
2024-03-15,0.3811,-0.39,054/A/NBP/2024
2024-03-14,0.3826,-0.08,053/A/NBP/2024
2024-03-13,0.3829,-0.08,052/A/NBP/2024
2024-03-12,0.3832,-0.1,051/A/NBP/2024
2024-03-11,0.3836,-0.6,050/A/NBP/2024
2024-03-08,0.3859,0.47,049/A/NBP/2024
2024-03-07,0.3841,0.42,048/A/NBP/2024
2024-03-06,0.3825,-0.26,047/A/NBP/2024
2024-03-05,0.3835,-0.57,046/A/NBP/2024
2024-03-04,0.3857,-0.08,045/A/NBP/2024
2024-03-01,0.386,0.13,044/A/NBP/2024
2024-02-29,0.3855,0.21,043/A/NBP/2024
2024-02-28,0.3847,-0.23,042/A/NBP/2024
2024-02-27,0.3856,-0.13,041/A/NBP/2024
2024-02-26,0.3861,-0.28,040/A/NBP/2024
2024-02-23,0.3872,0.03,039/A/NBP/2024
2024-02-22,0.3871,0.62,038/A/NBP/2024
2024-02-21,0.3847,-0.1,037/A/NBP/2024
2024-02-20,0.3851,-0.23,036/A/NBP/2024
2024-02-19,0.386,0.03,035/A/NBP/2024
2024-02-16,0.3859,0.08,034/A/NBP/2024
2024-02-15,0.3856,0.44,033/A/NBP/2024
2024-02-14,0.3839,-0.16,032/A/NBP/2024
2024-02-13,0.3845,-0.05,031/A/NBP/2024
2024-02-12,0.3847,0.5,030/A/NBP/2024
2024-02-09,0.3828,-0.65,029/A/NBP/2024
2024-02-08,0.3853,0.08,028/A/NBP/2024
2024-02-07,0.385,0.89,027/A/NBP/2024
2024-02-06,0.3816,0.1,026/A/NBP/2024
2024-02-05,0.3812,-0.39,025/A/NBP/2024
2024-02-02,0.3827,-0.23,024/A/NBP/2024
2024-02-01,0.3836,-0.47,023/A/NBP/2024
2024-01-31,0.3854,-0.41,022/A/NBP/2024
2024-01-30,0.387,0.57,021/A/NBP/2024
2024-01-29,0.3848,-0.54,020/A/NBP/2024
2024-01-26,0.3869,0.18,019/A/NBP/2024
2024-01-25,0.3862,0.26,018/A/NBP/2024
2024-01-24,0.3852,0.21,017/A/NBP/2024
2024-01-23,0.3844,0.37,016/A/NBP/2024
2024-01-22,0.383,-0.55,015/A/NBP/2024
2024-01-19,0.3851,-0.52,014/A/NBP/2024
2024-01-18,0.3871,0.05,013/A/NBP/2024
2024-01-17,0.3869,-0.18,012/A/NBP/2024
2024-01-16,0.3876,-0.28,011/A/NBP/2024
2024-01-15,0.3887,0.34,010/A/NBP/2024
2024-01-12,0.3874,-0.26,009/A/NBP/2024
2024-01-11,0.3884,0.26,008/A/NBP/2024
2024-01-10,0.3874,0.13,007/A/NBP/2024
2024-01-09,0.3869,-0.1,006/A/NBP/2024
2024-01-08,0.3873,-0.18,005/A/NBP/2024
2024-01-05,0.388,-0.13,004/A/NBP/2024
2024-01-04,0.3885,-0.36,003/A/NBP/2024
2024-01-03,0.3899,-0.31,002/A/NBP/2024
2024-01-02,0.3911,-0.2,001/A/NBP/2024
2023-12-29,0.3919,-0.15,251/A/NBP/2023
2023-12-28,0.3925,-0.13,250/A/NBP/2023
2023-12-27,0.393,0.61,249/A/NBP/2023
2023-12-22,0.3906,0.26,248/A/NBP/2023
2023-12-21,0.3896,0.08,247/A/NBP/2023
2023-12-20,0.3893,0.31,246/A/NBP/2023
2023-12-19,0.3881,0.21,245/A/NBP/2023
2023-12-18,0.3873,0.86,244/A/NBP/2023
2023-12-15,0.384,-0.05,243/A/NBP/2023
2023-12-14,0.3842,0.05,242/A/NBP/2023
2023-12-13,0.384,-0.08,241/A/NBP/2023
2023-12-12,0.3843,-0.16,240/A/NBP/2023
2023-12-11,0.3849,-0.18,239/A/NBP/2023
2023-12-08,0.3856,0.29,238/A/NBP/2023
2023-12-07,0.3845,0.37,237/A/NBP/2023
