�rednie kursy USD Narodowego Banku Polskiego,,,
,,,
Data,Kurs,Zmiana,Nazwa Tabeli
2024-03-25,3.9833,-0.24,060/A/NBP/2024
2024-03-22,3.9928,1.26,059/A/NBP/2024
2024-03-21,3.9431,-1.16,058/A/NBP/2024
2024-03-20,3.9895,0.07,057/A/NBP/2024
2024-03-19,3.9866,0.86,056/A/NBP/2024
2024-03-18,3.9528,0.35,055/A/NBP/2024
2024-03-15,3.9392,0.53,054/A/NBP/2024
2024-03-14,3.9183,-0.22,053/A/NBP/2024
2024-03-13,3.9269,0.27,052/A/NBP/2024
2024-03-12,3.9162,-0.25,051/A/NBP/2024
2024-03-11,3.9262,-0.33,050/A/NBP/2024
2024-03-08,3.9392,-0.24,049/A/NBP/2024
2024-03-07,3.9485,-0.37,048/A/NBP/2024
2024-03-06,3.963,-0.52,047/A/NBP/2024
2024-03-05,3.9838,0.05,046/A/NBP/2024
2024-03-04,3.982,-0.26,045/A/NBP/2024
2024-03-01,3.9922,0.3,044/A/NBP/2024
2024-02-29,3.9803,-0.3,043/A/NBP/2024
2024-02-28,3.9922,0.6,042/A/NBP/2024
2024-02-27,3.9682,-0.24,041/A/NBP/2024
2024-02-26,3.9776,-0.68,040/A/NBP/2024
2024-02-23,4.005,0.62,039/A/NBP/2024
2024-02-22,3.9804,-0.41,038/A/NBP/2024
2024-02-21,3.9966,-0.07,037/A/NBP/2024
2024-02-20,3.9994,-0.68,036/A/NBP/2024
2024-02-19,4.0269,-0.14,035/A/NBP/2024
2024-02-16,4.0325,-0.42,034/A/NBP/2024
2024-02-15,4.0495,-0.24,033/A/NBP/2024
2024-02-14,4.0593,1.14,032/A/NBP/2024
2024-02-13,4.0136,-0.13,031/A/NBP/2024
2024-02-12,4.0189,0.23,030/A/NBP/2024
2024-02-09,4.0096,-0.49,029/A/NBP/2024
2024-02-08,4.0292,-0.17,028/A/NBP/2024
2024-02-07,4.0362,-0.3,027/A/NBP/2024
2024-02-06,4.0484,0.6,026/A/NBP/2024
2024-02-05,4.0244,1.52,025/A/NBP/2024
2024-02-02,3.9641,-1.01,024/A/NBP/2024
2024-02-01,4.0047,-0.22,023/A/NBP/2024
2024-01-31,4.0135,-0.41,022/A/NBP/2024
2024-01-30,4.0301,-0.06,021/A/NBP/2024
2024-01-29,4.0326,-0.17,020/A/NBP/2024
2024-01-26,4.0393,0.51,019/A/NBP/2024
2024-01-25,4.0189,0.14,018/A/NBP/2024
2024-01-24,4.0131,0,017/A/NBP/2024
2024-01-23,4.0133,0.4,016/A/NBP/2024
2024-01-22,3.9972,-0.79,015/A/NBP/2024
2024-01-19,4.0289,-0.37,014/A/NBP/2024
2024-01-18,4.0437,0.01,013/A/NBP/2024
2024-01-17,4.0434,0.19,012/A/NBP/2024
2024-01-16,4.0358,0.99,011/A/NBP/2024
2024-01-15,3.9963,0.55,010/A/NBP/2024
2024-01-12,3.9746,0.17,009/A/NBP/2024
2024-01-11,3.968,0.06,008/A/NBP/2024
2024-01-10,3.9656,0.11,007/A/NBP/2024
2024-01-09,3.9612,-0.5,006/A/NBP/2024
2024-01-08,3.9812,-0.1,005/A/NBP/2024
2024-01-05,3.985,0.42,004/A/NBP/2024
2024-01-04,3.9684,-0.56,003/A/NBP/2024
2024-01-03,3.9909,1.21,002/A/NBP/2024
2024-01-02,3.9432,0.21,001/A/NBP/2024
2023-12-29,3.935,0.92,251/A/NBP/2023
2023-12-28,3.899,-0.48,250/A/NBP/2023
2023-12-27,3.9178,-0.41,249/A/NBP/2023
2023-12-22,3.9338,-0.77,248/A/NBP/2023
2023-12-21,3.9645,0.3,247/A/NBP/2023
2023-12-20,3.9527,-0.16,246/A/NBP/2023
2023-12-19,3.9591,-0.09,245/A/NBP/2023
2023-12-18,3.9625,0.76,244/A/NBP/2023
2023-12-15,3.9326,-0.4,243/A/NBP/2023
2023-12-14,3.9484,-1.66,242/A/NBP/2023
2023-12-13,4.0149,-0.14,241/A/NBP/2023
2023-12-12,4.0204,-0.18,240/A/NBP/2023
2023-12-11,4.0277,0.24,239/A/NBP/2023
2023-12-08,4.0181,-0.04,238/A/NBP/2023
2023-12-07,4.0199,-0.01,237/A/NBP/2023
2023-12-06,4.0202,0.73,236/A/NBP/2023
2023-12-05,3.991,0.15,235/A/NBP/2023
2023-12-04,3.985,-0.15,234/A/NBP/2023
2023-12-01,3.991,0.25,233/A/NBP/2023
2023-11-30,3.981,0.84,232/A/NBP/2023
2023-11-29,3.9478,-0.68,231/A/NBP/2023
2023-11-28,3.975,-0.05,230/A/NBP/2023
2023-11-27,3.9769,-0.83,229/A/NBP/2023
2023-11-24,4.0103,0.34,228/A/NBP/2023
2023-11-23,3.9969,-0.53,227/A/NBP/2023
2023-11-22,4.018,0.75,226/A/NBP/2023
2023-11-21,3.9882,-0.14,225/A/NBP/2023
2023-11-20,3.9938,-0.96,224/A/NBP/2023
2023-11-17,4.0327,-0.22,223/A/NBP/2023
2023-11-16,4.0415,-0.09,222/A/NBP/2023
2023-11-15,4.0453,-1.84,221/A/NBP/2023
2023-11-14,4.121,-0.64,220/A/NBP/2023
2023-11-13,4.1474,0.12,219/A/NBP/2023
2023-11-10,4.1423,-0.22,218/A/NBP/2023
2023-11-09,4.1513,-0.7,217/A/NBP/2023
2023-11-08,4.1804,0.33,216/A/NBP/2023
2023-11-07,4.1667,0.37,215/A/NBP/2023
2023-11-06,4.1512,-0.82,214/A/NBP/2023
2023-11-03,4.1857,-0.25,213/A/NBP/2023
2023-11-02,4.1963,0.67,212/A/NBP/2023
2023-10-31,4.1684,-0.85,211/A/NBP/2023
2023-10-30,4.204,-0.54,210/A/NBP/2023
2023-10-27,4.2267,-0.3,209/A/NBP/2023
2023-10-26,4.2395,0.26,208/A/NBP/2023
2023-10-25,4.2284,0.96,207/A/NBP/2023
2023-10-24,4.1884,-0.33,206/A/NBP/2023
2023-10-23,4.2022,-0.41,205/A/NBP/2023
2023-10-20,4.2194,-0.17,204/A/NBP/2023
2023-10-19,4.2264,0.54,203/A/NBP/2023
2023-10-18,4.2035,-0.23,202/A/NBP/2023
2023-10-17,4.2131,-0.88,201/A/NBP/2023
2023-10-16,4.2505,-1.23,200/A/NBP/2023
2023-10-13,4.3033,0.88,199/A/NBP/2023
2023-10-12,4.2659,0.16,198/A/NBP/2023
2023-10-11,4.2589,-0.92,197/A/NBP/2023
2023-10-10,4.2985,-1.05,196/A/NBP/2023
2023-10-09,4.3439,-0.39,195/A/NBP/2023
2023-10-06,4.3608,-0.37,194/A/NBP/2023
2023-10-05,4.3768,-0.88,193/A/NBP/2023
2023-10-04,4.4155,0.32,192/A/NBP/2023
2023-10-03,4.4012,0.87,191/A/NBP/2023
2023-10-02,4.3634,-0.14,190/A/NBP/2023
2023-09-29,4.3697,-0.83,189/A/NBP/2023
2023-09-28,4.4062,1.01,188/A/NBP/2023
2023-09-27,4.3622,0.32,187/A/NBP/2023
2023-09-26,4.3485,0.69,186/A/NBP/2023
2023-09-25,4.3188,-0.19,185/A/NBP/2023
2023-09-22,4.3269,-0.22,184/A/NBP/2023
2023-09-21,4.3365,-0.31,183/A/NBP/2023
2023-09-20,4.3501,0.07,182/A/NBP/2023
2023-09-19,4.3472,-0.04,181/A/NBP/2023
2023-09-18,4.3489,0.16,180/A/NBP/2023
2023-09-15,4.3418,0.69,179/A/NBP/2023
2023-09-14,4.312,-0.24,178/A/NBP/2023
2023-09-13,4.3225,-1.11,177/A/NBP/2023
2023-09-12,4.3711,1.47,176/A/NBP/2023
2023-09-11,4.3077,0.28,175/A/NBP/2023
2023-09-08,4.2958,0.16,174/A/NBP/2023
2023-09-07,4.289,2.37,173/A/NBP/2023
2023-09-06,4.1895,0.61,172/A/NBP/2023
2023-09-05,4.1643,0.7,171/A/NBP/2023
2023-09-04,4.1353,0.22,170/A/NBP/2023
2023-09-01,4.1263,0.46,169/A/NBP/2023
2023-08-31,4.1074,-0.23,168/A/NBP/2023
2023-08-30,4.1167,-0.42,167/A/NBP/2023
2023-08-29,4.1341,-0.14,166/A/NBP/2023
2023-08-28,4.14,-0.05,165/A/NBP/2023
2023-08-25,4.1419,0.58,164/A/NBP/2023
2023-08-24,4.118,-0.62,163/A/NBP/2023
2023-08-23,4.1438,1.26,162/A/NBP/2023
2023-08-22,4.0924,-0.49,161/A/NBP/2023
